,Title,1Similar,2Similar,3Similar,4Similar,5Similar,6Similar
22,Rivigo eases e-way bill generation process,E-way bill rollout scheduled for April 15 in 5 states,HireXP unveils app for recruitment solutions on the go,Uber aims to reduce traffic &amp; congestion with 'Movement',HRD constitutes team to prevent exam paper leaks,"Cyient, BlueBird Aero Systems to offer UAV systems to Indian defence industry",UPS opens integrated logistics facility in Ahmedabad
23,England take charge on Day 3 of Christchurch Test,"Schutt tops among T20I bowlers, Yadav takes 5th spot",IPL: Ish Sodhi replaces injured Zahir Khan for RR,Surrey sign retired Morkel on two-year deal,"Steyn reveals comeback plan, likely to join Hampshire",IPLT20: Sunrisers Hyderabad defeat Rajasthan Royals by 9 wickets,IPL 2018: Shikhar Dhawan aka Gabbar helped Sunrisers Hyderabad register stunning win
24,"Two army jawans lost their lives in encounter in Shopian: SP Vaid, DGP, J&K","J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",Terrorists killed in Shopian encounter were locals: SP Vaid,At least 4 terrorists trapped in Kachdoora encounter site: SP Vaid,Kaun Jitega 2019: Militants terrified of Operation 'All-out' in Kashmir,J-K: Seven terrorists gunned down in Dargad encounter,Shopian: One terrorist neutralised in Dragad encounter
25,Police custody of all three has been taken: Delhi Police Joint CP Crime Branch on CBSE Paper Leak case,Kaun Jitega 2019: CBSE paper leak: All 3 accused sent to 2-day police custody,CBSE paper leak: All 3 accused sent to 2-day police custody,"CBSE paper leak: 2 teachers, 1 coaching centre owner held",CBSE Paper Leak: Did the board lie to investigative agencies?,"Same culprit behind Class XII, X paper leak","CBSE paper leaks case: 3, including 2 teachers arrested"
26,"Tim Paine fractures thumb during Johannesburg Test, bats on",Surrey sign retired Morkel on two-year deal,David Warner's wife blames self for ball-tampering row,BIZARRE ! Man eats world's hottest chilli pepper and this is what happened to him !,"Steyn reveals comeback plan, likely to join Hampshire",Mumbai Indians' Pat Cummins ruled out of IPL,Aussies to tour Zimbabwe for T20I tri-series
27,Hyderabad: Infant dies during operation,Unnao Gangrape Case: Yogi government recommends CBI probe,Girl sets self on fire over continuous sexual harassment,Girl set ablaze for resisting molestation,"Nursery student thrashed for not paying fees, 3 arrested",Woman filed molestation complaint against DSGMC members,Indore building collapse: Death toll mounts to 10
28,Ways to fence the progress of Neurodegenerative diseases,How to deal with body odour this summer?,12 dead in Rajasthan rainstorm,Melania Trump comforts student who spilled water at event,Is Internet addiction real?,Ghanti Bajao: PM’s Ujjwala Yojana failing in its objective of persuading households to stop using firewood,"Fadnavis, Piyush Goyal perform 'bhoomi pujan' of Latur rail coach factory"
29,"J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",Terrorists behind Lt. Ummer Fayaz's killing gunned down,Terrorists killed in Shopian encounter were locals: SP Vaid,J-K: Seven terrorists gunned down in Dargad encounter,11 terrorists gunned down in separate encounters in Kashmir,Shopian: One terrorist neutralised in Dragad encounter,Kaun Jitega 2019: Militants terrified of Operation 'All-out' in Kashmir
30,"WATCH FULL: Saas Bahu Aur Saazish of April 1st, 2018","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ","Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ","Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode ",Watch top entertainment news of the day,Saas Bahu Aur Saazish: Day out with Dishank Arora,Saas Bahu Aur Saazish: Salman Khan caught in a new look 
31,Is Internet addiction real?,It takes 200 hours to become 'good friends' with someone,Actress Soha Ali Khan felicitates achievers at India Education Awards - 2018 organised by Blindwink,"Ali Baba co-founder Jack Ma asks Zuckerberg to ""fix"" Facebook",CBSE paper leak: All 3 accused sent to 2-day police custody,Reduce inequalities to resolve India's environment challenges: Experts,"Ali Baba co-founder Jack Ma asks Zuckerberg to ""fix"" Facebook"
32,Terrorists killed in Shopian encounter were locals: SP Vaid,Kaun Jitega 2019: Militants terrified of Operation 'All-out' in Kashmir,11 terrorists gunned down in separate encounters in Kashmir,J-K: Seven terrorists gunned down in Dargad encounter,At least 4 terrorists trapped in Kachdoora encounter site: SP Vaid,Shopian: One terrorist neutralised in Dragad encounter,J-K: Two encounters underway in Shopian
33,How to deal with body odour this summer?,Master Stroke: Bikaner to apply odd-even scheme on water supply ,Melania Trump comforts student who spilled water at event,"Fadnavis, Piyush Goyal perform 'bhoomi pujan' of Latur rail coach factory",Pakistan's Punjab Province is poisoning Sindh,Cauvery issue: PMK worker electrocuted during protest,Melania meets school kids amid media frenzy surrounding husband
34,Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL,"WATCH FULL: Saas Bahu Aur Saazish of April 1st, 2018",Don't Miss! Khichdi returns with the brand new season,Jiji Maa tries to bring back the family together,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","J&K: 8 militants killed, 2 jawans martyred in anti-terror operations"
35,"Dil Se Dil Tak: Parth fights in dance bar, risks his life for the girl",Watch top entertainment news of the day,OH NO! Serious fight between two lead actors on the sets of 'Nimki Mukhiya' ,BCCI to monitor workload of top 50 Indian players during IPL,Don't Miss! Khichdi returns with the brand new season,Merger episode of 'Jeet Gayi Toh Piya Morey' and 'Aapke Aa Jane Se',Jiji Maa tries to bring back the family together
36,Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',"Arijit Shashwat was arrested, claims police",Bhagalpur violence: Arijit Shashwat surrenders,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur Violence Case: Arjit Chaubey SURRENDERS amid Jai Shri Ram slogans
37,OH NO! Serious fight between two lead actors on the sets of 'Nimki Mukhiya' ,Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL,Don't Miss! Khichdi returns with the brand new season,Jiji Maa tries to bring back the family together,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","J&K: 8 militants killed, 2 jawans martyred in anti-terror operations"
38,Terrorists behind Lt. Ummer Fayaz's killing gunned down,"J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",11 terrorists gunned down in separate encounters in Kashmir,Terrorists killed in Shopian encounter were locals: SP Vaid,Kaun Jitega 2019: Militants terrified of Operation 'All-out' in Kashmir,J-K: Seven terrorists gunned down in Dargad encounter,Encounter underway in J-K's Kulgam
39,Don't Miss! Khichdi returns with the brand new season,Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL,Jiji Maa tries to bring back the family together,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","J&K: 8 militants killed, 2 jawans martyred in anti-terror operations","WATCH FULL: Saas Bahu Aur Saazish of April 1st, 2018"
40,Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',"Arijit Shashwat was arrested, claims police",Bhagalpur violence: Arijit Shashwat surrenders,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur Violence Case: Arjit Chaubey SURRENDERS amid Jai Shri Ram slogans
41,Ex-spy poisoning: Plane carrying expelled Russian diplomats reaches Moscow,Pakistani journalist claims USA has imposed drastic restrictions on Pakistani diplomats in Washington DC,"The brewing diplomatic tussle between Pakistan, US",India against use of chemical weapons: MEA,West being unjustifiably adversarial towards us: Russian envoy in UN,"US, Russia clash at UNSC over probing chemical attacks in Syria",Trump to decide in next 24-48 hours on action against Syrian Chemical Attack suspects
42,Bhagalpur communal clash case: Arijit Shashwat surrenders,Bhagalpur violence: Arijit Shashwat released from jail,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","Arijit Shashwat was arrested, claims police","In the name of security, Unnao rape victim says she is facing prison-like conditions",Watch top entertainment news of the day
43,SBS FULL: Sahil and Varun are best friends now,Merger episode of 'Jeet Gayi Toh Piya Morey' and 'Aapke Aa Jane Se',Jeet Gayi Toh Piya Morey: Varun exposes Dr Alekh at Devi's engagement ceremony ,Aap Ke Aa Jane Se: Sahil pushes Nidhi from stairs,Watch top entertainment news of the day,Varun Dhawan REVEALS that he was asked to ditch phone during shooting of 'October'   ,BCCI to monitor workload of top 50 Indian players during IPL
44,"J&K: 8 militants killed, 2 jawans martyred in anti-terror operations",Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL,Don't Miss! Khichdi returns with the brand new season,Jiji Maa tries to bring back the family together,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","WATCH FULL: Saas Bahu Aur Saazish of April 1st, 2018"
45,Platforms making it easier to embrace pre-owned luxury products,Follow these platforms if you are an emerging fashion designer,Don't Miss! Khichdi returns with the brand new season,Electric vehicles major attraction in 'Happy Cities Summit',Manipur on entrepreneurship map with 'Made in Ukhrul' project,"Retail inflation at 4.28 %, Industrial output grows 7.1 %",WATCH: कैसे हुई रेप के आरोपी बीजेपी विधायक कुलदीप सिंह सेंगर की गिरफ्तारी?
46,Merger episode of 'Jeet Gayi Toh Piya Morey' and 'Aapke Aa Jane Se',SBS FULL: Sahil and Varun are best friends now,Jeet Gayi Toh Piya Morey: Varun exposes Dr Alekh at Devi's engagement ceremony ,Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL,Don't Miss! Khichdi returns with the brand new season,Jiji Maa tries to bring back the family together
47,SAD workers distribute dummy phones in name of Punjab govt marking April fool's Day,Punjab Govt seeks Sidhu's conviction in road rage case,Allow mortal remains of Iraq victims reach their natives safely: Punjab CM,SC/ST Atrocities Act: 'Bharat Bandh' called on Monday; Internet and buses suspended in Punjab,Panchayat Polls: Calcutta HC directs state EC to file report,VK Singh to leave for Iraq to bring back bodies of 39 Indians,WB Panchayat Election: EC extends last date for filing nominations
48,CBSE paper leak: All 3 accused sent to 2-day police custody,Kaun Jitega 2019: CBSE paper leak: All 3 accused sent to 2-day police custody,"CBSE paper leak: 2 teachers, 1 coaching centre owner held",Police custody of all three has been taken: Delhi Police Joint CP Crime Branch on CBSE Paper Leak case,"CBSE paper leaks case: 3, including 2 teachers arrested",CBSE Paper Leaks: Tale of friendship gone awry,CBSE paper leak: Board suspends official for lax supervision
49,"Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Kaun Jitega 2019: Petrol, Diesel prices highest in over 4 years",iPhone fest on Amazon: Here are all the great deals in detail !,Retail inflation slows to 4.28 pc in March,Ever wonder which is the richest political party in India?,"Cabinet approves revision of pay, allowances of LGs"
50,"Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Kaun Jitega 2019: Petrol, Diesel prices highest in over 4 years",iPhone fest on Amazon: Here are all the great deals in detail !,Retail inflation slows to 4.28 pc in March,Ever wonder which is the richest political party in India?,"Cabinet approves revision of pay, allowances of LGs"
51,SC/ST Atrocities Act: 'Bharat Bandh' called on Monday; Internet and buses suspended in Punjab,Allow mortal remains of Iraq victims reach their natives safely: Punjab CM,SC/ST Atrocities Act: Govt to file review petition before Supreme Court,"Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence","Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence","Bharat Bandh 2.0: Prohibitory orders in Jaipur, internet services to be suspended","Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence"
52,"Mystery Rooms to invest Rs. 30 million, launch 25 new outlets",Woman set on fire by husband over family dispute,Uber aims to reduce traffic &amp; congestion with 'Movement',"CWG 2018: Shuttlers Sindhu, Srikanth ease into quarters","CWG 2018 Wrestling: Rahul Aware bags gold, Babita settles for silver",International-level Tribal athletes to meet PM Modi on April 14,"CWG 2018: Boxers Amit, Naman punch their ways to semis"
53,Kaun Jitega 2019: BJP delegation visits relief camp in Asansol,"In the name of security, Unnao rape victim says she is facing prison-like conditions","Kaun Jitega 2019: Amit Shah visits Lucknow, pays homage to Jyotiba Phule",Bhagalpur communal clash case: Arijit Shashwat surrenders,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,Watch top entertainment news of the day
54,Kaun Jitega 2019: CBSE paper leak: All 3 accused sent to 2-day police custody,Police custody of all three has been taken: Delhi Police Joint CP Crime Branch on CBSE Paper Leak case,CBSE paper leak: All 3 accused sent to 2-day police custody,"CBSE paper leak: 2 teachers, 1 coaching centre owner held","Same culprit behind Class XII, X paper leak",CBSE Paper Leak: Did the board lie to investigative agencies?,CBSE paper leak: Board suspends official for lax supervision
55,"Schutt tops among T20I bowlers, Yadav takes 5th spot",Aussies to tour Zimbabwe for T20I tri-series,Pak to not undermine inexperienced Windies: Sarfraz Ahmed,England take charge on Day 3 of Christchurch Test,IPL: Ish Sodhi replaces injured Zahir Khan for RR,Srikanth becomes World No. 1,Surrey sign retired Morkel on two-year deal
56,"Kaun Jitega 2019: Petrol, Diesel prices highest in over 4 years",Kaun Jitega 2019: Send your video message and let us know your political thoughts,"Kaun Jitega 2019: Amit Shah visits Lucknow, pays homage to Jyotiba Phule","Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years",Watch top entertainment news of the day,BCCI to monitor workload of top 50 Indian players during IPL
57,Kaun Jitega 2019: Militants terrified of Operation 'All-out' in Kashmir,Terrorists killed in Shopian encounter were locals: SP Vaid,J-K: Seven terrorists gunned down in Dargad encounter,"J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",At least 4 terrorists trapped in Kachdoora encounter site: SP Vaid,Shopian: One terrorist neutralised in Dragad encounter,11 terrorists gunned down in separate encounters in Kashmir
58,Kaun Jitega 2019: VK Singh leaves for Iraq to bring back bodies of 39 Indians,VK Singh to leave for Iraq to bring back bodies of 39 Indians,Mortal remains of 39 Indians killed in Iraq to reach India today,Mortal remains of 39 Indians killed in Iraq to reach India tomorrow,Jiji Maa tries to bring back the family together,Allow mortal remains of Iraq victims reach their natives safely: Punjab CM,Watch top entertainment news of the day
59,"Steyn reveals comeback plan, likely to join Hampshire",Surrey sign retired Morkel on two-year deal,CWG' 18: Indian women's hockey team through to semis,Mumbai Indians' Pat Cummins ruled out of IPL,Aussies to tour Zimbabwe for T20I tri-series,IPL: Ish Sodhi replaces injured Zahir Khan for RR,England take charge on Day 3 of Christchurch Test
60,BCCI to monitor workload of top 50 Indian players during IPL,Watch top entertainment news of the day,Don't Miss! Khichdi returns with the brand new season,Jiji Maa tries to bring back the family together,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya","J&K: 8 militants killed, 2 jawans martyred in anti-terror operations","WATCH FULL: Saas Bahu Aur Saazish of April 1st, 2018"
61,Facebook breach: Indians weigh in on data protection,Mark Zuckerberg says his data also harvested and sold by Cambridge Analytica,Facebook starts alerting users if their data was shared with Cambridge Analytica; Here is how you can check,"Soon, you'll be able to download your Insta posts","'My mistake, I'm sorry' - Zuckerberg's testimony ahead of the hearing before senators",Facebook has a dedicated counter-terrorism team: Zuckerberg,My data was exposed in Cambridge Analytica leak: Zuckerberg
62,Sachi Ghatna: Inside story of Indore building collapse,Indore building collapse: Magisterial inquiry ordered,Indore building collapse: MP CM announces ex-gratia,'Family of journos who die on duty to get Rs 4 lakh',"32 killed in Himachal bus accident, CM announces ex-gratia",Watch top entertainment news of the day,Indore building collapse: Death toll mounts to 10
63,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?,Bhagalpur violence: Arijit Shashwat surrenders,"Arijit Shashwat was arrested, claims police",Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur Violence: Union Minister Ashwini Choubey's son Arjit Shashwat arrested; says 'was not evading arrest',Bhagalpur communal clash case: Arijit Shashwat surrenders
64,J&amp;K: Internet services suspended after 11 terrorists killed in encounter,Shopian: One terrorist neutralised in Dragad encounter,Terrorists killed in Shopian encounter were locals: SP Vaid,J-K: Two encounters underway in Shopian,11 terrorists gunned down in separate encounters in Kashmir,J-K: Seven terrorists gunned down in Dargad encounter,J&K: Encounter between security forces & terrorists takes place in Shopian
65,Kaun Jitega 2019: 'No evidence' that Dalit was killed for keeping a horse,"Action will be taken against party worker if evidence found against him, says Kailash Vijayvargiya",Watch top entertainment news of the day,Police custody of all three has been taken: Delhi Police Joint CP Crime Branch on CBSE Paper Leak case,BCCI to monitor workload of top 50 Indian players during IPL,Don't Miss! Khichdi returns with the brand new season,Master Stroke: Family forced to make an old dry well their home in Uttar Pradesh
66,"Now, you can visit Taj Mahal only for 3 hours",Pillar inside Taj Mahal premises collapses due to heavy rain,Electric vehicles major attraction in 'Happy Cities Summit',Woman filed molestation complaint against DSGMC members,Mark Zuckerberg says his data also harvested and sold by Cambridge Analytica,"Committed to ensure integrity of elections in India, other countries : Mark Zuckerberg","Rajasthan: One dead, six ill after consuming mid-day meal"
67,UP: Women footballers allege assault by police,CWG is more athlete-centric now: Deepa Malik,Allow mortal remains of Iraq victims reach their natives safely: Punjab CM,Mumbai: During raid two`sex workers' die after falling from building,Unnao rape: SIT to send report by today evening,"Unnao rape: Actions will be taken only after preliminary report, says DIG",Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC
68,Kaun Jitega 2019: Pravin Togadia accuses PM Modi of conspiring to build mosque in Ayodhya instead of Ram temple,Watch top entertainment news of the day,Justice Chelameswar vents anguish over affairs in Supreme Court,"CJI is first among equals, will decide allocation of cases: SC","In the name of security, Unnao rape victim says she is facing prison-like conditions",BCCI to monitor workload of top 50 Indian players during IPL,Bhagalpur communal clash case: Arijit Shashwat surrenders
69,CBSE Paper leaks case:  CBSE official suspended for laxity in supervising exam centre,CBSE paper leak: Board suspends official for lax supervision,"CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leak: 2 teachers, 1 coaching centre owner held"
70,SC/ST Atrocities Act: Govt to file review petition before Supreme Court,"Misuse of Dalit rights: Amid protests, Aligarh woman narrates her ordeal",SC/ST Atrocities Act: 'Bharat Bandh' called on Monday; Internet and buses suspended in Punjab,"Verdict on SC/ST Act has diluted law resulting in ""great damage"" to country: Centre to SC",Bharat Bandh: Section 144 imposed in various parts of country,"Bharat Bandh 2.0: Prohibitory orders in Jaipur, internet services to be suspended",Allow mortal remains of Iraq victims reach their natives safely: Punjab CM
71,Fire breaks out at painter Pramod Kamble's studio,Fire breaks out in Delhi's jewellery shop,"Fire breaks out in Thane mall, cooling operation underway",Former Navy officer found dead in his house,J-K: Two encounters underway in Shopian,Encounter underway in J-K's Kulgam,Shopian: One terrorist neutralised in Dragad encounter
72,11 terrorists gunned down in separate encounters in Kashmir,Terrorists killed in Shopian encounter were locals: SP Vaid,J-K: Two encounters underway in Shopian,J-K: Seven terrorists gunned down in Dargad encounter,J&K: Encounter between security forces & terrorists takes place in Shopian,At least 4 terrorists trapped in Kachdoora encounter site: SP Vaid,J&K: Encounter between security forces & terrorists takes place in Shopian
